Vertices                      Edges_Prob.                   Max_Weight                    Ops._Count                    Tested_Solutions              Search_Time
73                            0.125                         165                           274                           1                             0.0017261505126953125
73                            0.25                          203                           593                           1                             0.0033991336822509766
73                            0.5                           295                           4604                          1                             0.025101661682128906
73                            0.75                          465                           76684                         1                             0.49712133407592773
74                            0.125                         142                           298                           1                             0.0015077590942382812
74                            0.25                          177                           735                           1                             0.0032508373260498047
74                            0.5                           290                           5137                          1                             0.022842884063720703
74                            0.75                          477                           138170                        1                             0.843618631362915
75                            0.125                         132                           328                           1                             0.0016484260559082031
75                            0.25                          189                           751                           1                             0.0032525062561035156
75                            0.5                           288                           5789                          1                             0.025427579879760742
75                            0.75                          491                           135404                        1                             0.857332706451416
76                            0.125                         144                           306                           1                             0.0016903877258300781
76                            0.25                          180                           790                           1                             0.0034122467041015625
76                            0.5                           290                           5309                          1                             0.024472951889038086
76                            0.75                          502                           130243                        1                             0.8272993564605713
77                            0.125                         161                           322                           1                             0.0017261505126953125
77                            0.25                          175                           862                           1                             0.003544330596923828
77                            0.5                           302                           5784                          1                             0.026827335357666016
77                            0.75                          520                           131175                        1                             0.8716506958007812
78                            0.125                         140                           350                           1                             0.0018506050109863281
78                            0.25                          175                           853                           1                             0.0037178993225097656
78                            0.5                           292                           6073                          1                             0.02796769142150879
78                            0.75                          485                           178102                        1                             1.1394684314727783
79                            0.125                         160                           324                           1                             0.0017614364624023438
79                            0.25                          191                           851                           1                             0.003644704818725586
79                            0.5                           306                           6040                          1                             0.027977705001831055
79                            0.75                          485                           150471                        1                             0.9615659713745117
80                            0.125                         130                           357                           1                             0.001903533935546875
80                            0.25                          192                           776                           1                             0.003616809844970703
80                            0.5                           291                           6539                          1                             0.03000640869140625
80                            0.75                          538                           116471                        1                             0.8309645652770996
81                            0.125                         144                           361                           1                             0.0019371509552001953
81                            0.25                          176                           887                           1                             0.004106283187866211
81                            0.5                           301                           5959                          1                             0.02936244010925293
81                            0.75                          535                           120789                        1                             0.8820235729217529
82                            0.125                         141                           333                           1                             0.0019559860229492188
82                            0.25                          179                           903                           1                             0.004118204116821289
82                            0.5                           299                           6477                          1                             0.031044960021972656
82                            0.75                          505                           125974                        1                             0.8540349006652832
83                            0.125                         136                           352                           1                             0.002022981643676758
83                            0.25                          197                           895                           1                             0.0041692256927490234
83                            0.5                           310                           7452                          1                             0.03541088104248047
83                            0.75                          528                           143010                        1                             0.9657411575317383
84                            0.125                         133                           366                           1                             0.0020952224731445312
84                            0.25                          196                           886                           1                             0.004307746887207031
84                            0.5                           276                           8940                          1                             0.03969407081604004
84                            0.75                          519                           159352                        1                             1.109875202178955
85                            0.125                         159                           334                           1                             0.002001523971557617
85                            0.25                          176                           1020                          1                             0.00463557243347168
85                            0.5                           315                           8301                          1                             0.03930544853210449
85                            0.75                          538                           171694                        1                             1.2735776901245117
86                            0.125                         174                           342                           1                             0.0020940303802490234
86                            0.25                          199                           993                           1                             0.00479435920715332
86                            0.5                           293                           9510                          1                             0.04530787467956543
86                            0.75                          506                           236628                        1                             1.6298527717590332
87                            0.125                         139                           388                           1                             0.0022907257080078125
87                            0.25                          165                           1126                          1                             0.005009174346923828
87                            0.5                           313                           9409                          1                             0.04544997215270996
87                            0.75                          554                           230598                        1                             1.6877305507659912
88                            0.125                         128                           396                           1                             0.002254486083984375
88                            0.25                          193                           983                           1                             0.004607200622558594
88                            0.5                           315                           8035                          1                             0.03974413871765137
88                            0.75                          519                           232048                        1                             1.7079877853393555
89                            0.125                         131                           399                           1                             0.0023336410522460938
89                            0.25                          182                           1015                          1                             0.004884243011474609
89                            0.5                           293                           9671                          1                             0.04778647422790527
89                            0.75                          545                           215855                        1                             1.627690315246582
90                            0.125                         161                           379                           1                             0.0022902488708496094
90                            0.25                          187                           1061                          1                             0.004993438720703125
90                            0.5                           346                           6553                          1                             0.0368504524230957
90                            0.75                          533                           207700                        1                             1.5761990547180176
91                            0.125                         160                           406                           1                             0.0023679733276367188
91                            0.25                          199                           1007                          1                             0.005063772201538086
91                            0.5                           343                           7895                          1                             0.042939186096191406
91                            0.75                          523                           316334                        1                             2.4011037349700928
92                            0.125                         152                           415                           1                             0.0024874210357666016
92                            0.25                          189                           1101                          1                             0.0055048465728759766
